商品介绍,掌机,商品名称,商品编号,商品毛重,体感,销售规格,类别,输出接口,输出分辨率,VR功能,适用人数,店铺,商品产地,货号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,掌机,产品尺寸,内置存储,附赠控制器,游戏运行介质,蓝牙连接,存储扩展,支持控制器,USB-C接口数量,内存,续航时间,品牌,产品净重（kg）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,掌机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,游戏本,商品名称,商品编号,商品毛重,内存容量,屏幕尺寸,支持IPv6,显卡芯片供应商,系统,类型,厚度,屏幕刷新率,系列,显卡型号,处理器,固态硬盘（SSD）,机械硬盘,能效等级,屏幕色域,显卡类型,商品产地,颜色,机身材质,特征特质,货号,优选服务,店铺,特性,待机时长,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,游戏本,认证型号,型号,产品净重（kg）,显示比例,屏幕分辨率,屏幕尺寸,电池容量,局域网,线程数,核心数,显示端口,屏幕类型,产品尺寸,CPU类型,显存类型,M.2接口数量,最大支持容量,CPU型号,显存容量,电池芯数,显存位宽,内存频率,处理器加速频率,插槽数量,摄像头,Wi-Fi连接,处理器基准频率,内存类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,游戏本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,轻薄本,商品名称,商品编号,商品毛重,类型,系统,厚度,内存容量,支持IPv6,处理器,屏幕刷新率,屏幕尺寸,系列,显卡型号,固态硬盘（SSD）,机械硬盘,显卡芯片供应商,商品产地,屏幕色域,特性,颜色,能效等级,优选服务,机身材质,货号,店铺,显卡类型,成色,分辨率,标签,质保期,包装配件,商品卖点,硬盘容量,特征特质,待机时长,,,,,,,,,,,,,,,,,,,,
更多参数,轻薄本,型号,认证型号,产品尺寸,产品净重（kg）,显示端口,类型,显存类型,显存位宽,局域网,摄像头,电池容量,理论续航时间,显示比例,屏幕尺寸,屏幕分辨率,屏幕类型,CPU型号,CPU集成显卡,核心数,线程数,内存类型,内置麦克风,CPU类型,音频接口,电池芯数,处理器加速频率,处理器基准频率,Wi-Fi连接,M.2接口数量,电源适配器,最大支持容量,蓝牙版本,内存频率,,,,,,,,,,,,,,,,,,,,,,
手动添加,轻薄本,_100041021195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品介绍,主板,商品名称,商品编号,商品毛重,板型,商品产地,处理器,搭配主板,SSD固态硬盘接口,RGB,质保期,M.2接口数量,Wi-Fi连接,适用CPU接口,是否支持PCIE4.0,接口,INTEL芯片,游戏特色,适用游戏,店铺,AMD芯片,是否支持PCIE5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更多参数,主板,产品净重,IDE接口,声道,内存标准,DDR代数,最大内存容量,内存插槽,PCI Express x1,PCI 插槽,PCI Express x16,接口,集成显卡,最大网络速度,型号,平台类型,电源接口,品牌,SATA,板型大小,USB接口数,HDMI接口,PCI Express x4,声卡类型,网卡类型,PS/2,音频接口,RAID支持,RJ 45网络接口,,,,,,,,,,,,,,,,,,,,,,,,,,,
手动添加,主板,_1000,_100020236289,_10001,_100029902363,_12,_100035259546,_100029902359,_100,_111,_10058662190338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
